,Latitude,Longitude,City Name,Temperature,Humidity,Cloudiness,Windspeed
0,-53.732488325550364,-72.00602281245733,punta arenas,33.8,74,20,6.93
1,-53.13875917278185,39.16883885348014,east london,64.4,82,40,14.99
2,-52.66377585056704,26.48612957175564,kruisfontein,66.94,91,76,18.03
3,-51.832555036691126,-59.936928507576646,ushuaia,35.6,100,75,16.11
4,-50.763842561707804,-45.48197547255714,mar del plata,57.94,57,0,24.07
5,-50.28885923949299,-66.01823113366332,rio gallegos,39.2,80,40,14.99
6,-49.69513008672448,32.04112780117046,port alfred,67.93,90,0,17.36
7,-48.507671781187454,-80.52975257323313,coihaique,51.8,66,90,8.05
8,-48.388925950633755,10.927920961627308,hermanus,60.19,96,76,3.6
9,-43.99533022014676,28.091033903343686,port elizabeth,38.03,59,1,5.82
10,-43.40160106737825,9.101288661241767,cape town,62.6,88,20,12.75
11,-42.45163442294863,-83.7661671983476,castro,52.72,98,92,5.5
12,-41.38292194796531,-91.49286097362153,ancud,53.89,96,88,4.94
13,-41.26417611741161,-46.18851483645717,chuy,63.43,90,0,22.06
14,-41.1454302868579,68.03990401233955,souillac,34.61,93,0,4.7
15,-40.7891927951968,-61.39671314955763,viedma,51.46,53,0,10.54
16,-40.6704469646431,24.18771528030868,plettenberg bay,64.69,100,88,10.65
17,-40.314209472981986,20.391401825778246,bredasdorp,64.4,88,80,5.82
18,-39.720480320213476,-61.59596880027358,punta alta,75.2,88,40,9.17
19,-39.48298865910607,-50.32800958488296,rocha,59.02,87,32,16.02
20,-36.63308872581721,-67.07053395743671,san rafael,43.72,43,0,2.26
21,-36.51434289526351,-64.9928915392776,santa rosa,48.31,61,0,3.94
22,-36.0393595730487,-42.627004114919245,cidreira,73.24,96,88,11.65
23,-35.683122081387594,116.64520272793956,albany,19.74,38,20,3.36
24,-34.25817211474316,-66.95570123108922,san luis,45.88,46,0,3.6
25,-34.13942628418946,7.846268967185409,saldanha,38.59,97,92,8.08
26,-34.020680453635755,-63.641320513756206,rio cuarto,51.8,53,0,6.93
27,-33.901934623082056,-62.29035927423258,venado tuerto,49.93,63,0,5.95
28,-33.66444296197465,-40.42275479833076,laguna,58.57,60,0,3.04
29,-33.545697131420944,-72.28541924759801,san antonio,50,93,0,3.36
30,-32.833222148098734,-56.44596774590906,paso de los toros,57.49,85,0,14.34
31,-32.59573048699133,-71.07911307657928,cabildo,53.6,81,0,4.7
33,-32.00200133422281,110.8814186785579,busselton,76.57,80,0,6.62
34,-31.883255503669112,34.305760229110064,richards bay,72.88,74,0,7.07
35,-31.527018012008007,47.37813648056195,ambovombe,78.46,82,12,16.8
36,-31.2895263509006,-97.79355755050976,lebu,53.6,81,20,4.7
37,-30.81454302868579,117.14556364175053,northam,32,100,24,19.46
38,-29.74583055370247,-26.481629337653686,sao joao da barra,79.81,98,0,18.03
39,-29.508338892595063,42.018960054064166,beloha,80.8,71,20,15.01
40,-29.152101400933958,-35.19363827688457,arraial do cabo,76.39,99,12,14.56
41,-28.795863909272846,25.718270950153737,bloemfontein,51.8,100,90,2.24
42,-27.727151434289524,-62.87184590017851,santiago del estero,65.05,56,0,5.61
43,-27.608405603735825,116.63983685875436,geraldton,-0.41,54,20,4.5
44,-27.48965977318212,16.39062952688559,oranjemund,61.18,97,92,18.92
46,-27.133422281521014,-50.485415159931165,curitibanos,64.24,94,12,2.37
