,compound,date,neg,neu,pos,source_account,text,tweets_ago
0,0.5267,2018-29-03 04:32:05,0.0,0.794,0.206,@BBCNews,"RT @The_ChrisShaw: The might of the @BBCNews investigative journalistic talent lands the scoop of the century.

Meanwhile, Brexit collapses…",0
1,0.0,2018-29-03 04:30:56,0.0,1.0,0.0,@BBCNews,"RT @BBCNews: Thursday's Express: ""One year to Brexit"" #tomorrowspaperstoday #bbcpapers (via @hendopolis) https://t.co/ZaadHJsfyK",1
2,-0.6908,2018-29-03 04:30:55,0.17,0.83,0.0,@BBCNews,"RT @KTHopkins: If 100 Pakistani Muslim men rape our children the @BBCNews uses the term “Asian” - throwing Sikhs, India &amp; half of Taiwan un…",2
3,0.0516,2018-29-03 04:30:48,0.127,0.704,0.169,@BBCNews,@BBCNews She knows full well that she &amp; her nasty party have divided the country. It's the way they control us. Div… https://t.co/kMBc3Mdcd5,3
4,0.0,2018-29-03 04:30:22,0.0,1.0,0.0,@BBCNews,RT @Brown666W: @BBCNews Says separatist tearing NI and Scotland out the European Union against their will. #Mayhem #UKShambles https://t.co…,4
5,0.0,2018-29-03 04:30:16,0.0,1.0,0.0,@BBCNews,"@BBCNews NHS bosses reduce your headcount, spend the money on medical staff, beds and re-use the office space.",5
6,0.0,2018-29-03 04:29:42,0.0,1.0,0.0,@BBCNews,RT @BBCNews: We've not got enough beds or staff - NHS bosses https://t.co/Bvfm6XImb8,6
7,-0.6908,2018-29-03 04:29:28,0.17,0.83,0.0,@BBCNews,"RT @KTHopkins: If 100 Pakistani Muslim men rape our children the @BBCNews uses the term “Asian” - throwing Sikhs, India &amp; half of Taiwan un…",7
8,-0.4005,2018-29-03 04:29:19,0.27,0.73,0.0,@BBCNews,RT @BBCNews: 'Deeply sorry' Christine Shawcroft quits as Labour disputes chief https://t.co/J5agmTRErT,8
9,0.0,2018-29-03 04:28:36,0.0,1.0,0.0,@BBCNews,"RT @TeresaHantschke: Steven Woolfe has sent letters to the Prime Minister Teresa May, and the Secretary of State for Health and Social Care…",9
10,0.0,2018-29-03 04:28:28,0.0,1.0,0.0,@BBCNews,RT @BBCNews: MPs to probe Russian money laundering through UK property https://t.co/fcDkQ6QzYw,10
11,-0.25,2018-29-03 04:28:10,0.154,0.732,0.114,@BBCNews,"RT @stevenjbarnett: Aussie ball tampering gets the full 2 minute package on @BBCNews.

Astounding allegations of electoral fraud in the UK'…",11
12,0.0,2018-29-03 04:27:56,0.0,1.0,0.0,@BBCNews,#germany @POLITICOEurope #Poland #europe @getongab @Paul_T8319 @UKMoments @TwitterDE @DailyTickNews @BBCNews… https://t.co/rOODDSAZK8,12
13,0.0,2018-29-03 04:27:36,0.0,1.0,0.0,@BBCNews,"RT @HuntedTeamNick: Chris Wylie is Cambridge Analytica's Whistleblower.

We now need a @BBCNews Whistleblower, to tell us why they aren't A…",13
14,-0.6908,2018-29-03 04:27:16,0.17,0.83,0.0,@BBCNews,"RT @KTHopkins: If 100 Pakistani Muslim men rape our children the @BBCNews uses the term “Asian” - throwing Sikhs, India &amp; half of Taiwan un…",14
15,0.0,2018-29-03 04:27:01,0.0,1.0,0.0,@BBCNews,@allthreeofthem @BBCMarkEaston @BBCNews Was he suitable for open conditions many years ago? But being a vulnerable… https://t.co/WaQupFc612,15
